bin_center,count
-25.626140950392607,5
-25.26371911037517,2
-24.90129727035773,0
-24.53887543034029,0
-24.176453590322854,0
-23.814031750305418,0
-23.451609910287978,0
-23.089188070270538,0
-22.7267662302531,0
-22.364344390235665,0
-22.001922550218225,0
-21.639500710200785,0
-21.27707887018335,1
-20.914657030165912,12
-20.552235190148473,18
-20.189813350131033,23
-19.827391510113596,32
-19.46496967009616,24
-19.10254783007872,26
-18.74012599006128,16
-18.377704150043844,10
-18.015282310026407,1
-17.652860470008967,0
-17.290438629991527,0
-16.92801678997409,0
-16.56559494995665,0
-16.203173109939215,0
-15.840751269921775,0
-15.478329429904338,0
-15.115907589886898,1
-14.753485749869462,11
-14.391063909852022,32
-14.028642069834586,70
-13.666220229817146,59
-13.30379838979971,37
-12.94137654978227,28
-12.578954709764833,13
-12.216532869747393,5
-11.854111029729957,0
-11.491689189712517,0
-11.12926734969508,0
-10.76684550967764,0
-10.404423669660204,0
-10.042001829642764,5
-9.679579989625328,12
-9.317158149607888,19
-8.95473630959045,49
-8.592314469573012,64
-8.229892629555573,73
-7.867470789538135,37
-7.505048949520697,11
-7.142627109503259,3
-6.780205269485821,0
-6.417783429468383,2
-6.0553615894509445,8
-5.692939749433506,13
-5.330517909416068,22
-4.96809606939863,45
-4.605674229381192,76
-4.243252389363754,79
-3.8808305493463155,62
-3.5184087093288774,28
-3.1559868693114392,12
-2.793565029294001,15
-2.431143189276561,20
-2.068721349259123,24
-1.7062995092416848,15
-1.3438776692242467,19
-0.9814558292068085,17
-0.6190339891893704,7
-0.2566121491719322,8
0.10580969084550595,12
0.4682315308629441,9
0.8306533708803823,4
1.1930752108978204,10
1.5554970509152586,7
1.9179188909326967,24
2.280340730950135,34
2.642762570967573,34
3.005184410985011,28
3.3676062510024494,28
3.7300280910198875,36
4.092449931037326,29
4.454871771054764,30
4.817293611072202,30
5.17971545108964,43
5.542137291107078,45
5.9045591311245165,49
6.266980971141953,25
6.629402811159391,10
6.991824651176831,3
7.354246491194271,3
7.716668331211707,0
8.079090171229144,1
8.441512011246584,10
8.803933851264024,13
9.166355691281463,19
9.5287775312989,18
9.891199371316336,36
10.253621211333776,47
10.616043051351216,34
10.978464891368652,8
11.340886731386089,0
11.703308571403529,0
12.065730411420969,0
12.428152251438405,1
12.790574091455841,9
13.152995931473281,31
13.515417771490721,25
13.877839611508158,5
14.240261451525594,0
14.602683291543034,2
14.965105131560474,3
15.32752697157791,5
15.689948811595347,5
16.052370651612787,6
16.414792491630227,12
16.777214331647663,13
17.1396361716651,15
17.50205801168254,21
17.86447985169998,37
18.226901691717416,52
18.589323531734852,45
18.951745371752292,24
19.314167211769732,21
19.676589051787168,21
20.039010891804605,17
20.401432731822045,4
20.763854571839484,0
21.126276411856924,0
21.48869825187436,0
21.851120091891797,5
22.213541931909237,13
22.575963771926677,6
22.938385611944113,0
23.30080745196155,0
23.66322929197899,0
24.02565113199643,0
24.388072972013866,0
24.750494812031302,0
25.112916652048742,0
25.475338492066182,0
25.83776033208362,0
26.200182172101055,0
26.562604012118495,0
26.925025852135935,0
27.28744769215337,0
27.649869532170808,0
28.012291372188248,3
28.374713212205688,3
